Date : 2025-09-30 09:14:45
Directory : d:\Tuanjie Projects\UGJ2025\Assets
Total : 95 files,  11760 codes, 1023 comments, 1876 blanks, all 14659 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C#          |         44 |      4,655 |        882 |        932 |      6,469 |
| UnityShader |         43 |      3,633 |        141 |        914 |      4,688 |
| XML         |          2 |      3,233 |          0 |          2 |      3,235 |
| JSON        |          2 |        156 |          0 |          2 |        158 |
| Markdown    |          4 |         83 |          0 |         26 |        109 |
+-------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |         95 |     11,760 |      1,023 |      1,876 |     14,659 |
| . (Files)                                                                                         |          1 |         68 |          2 |         11 |         81 |
| Plugins                                                                                           |         10 |      4,528 |        555 |        224 |      5,307 |
| Plugins\Demigiant                                                                                 |         10 |      4,528 |        555 |        224 |      5,307 |
| Plugins\Demigiant\DOTween                                                                         |         10 |      4,528 |        555 |        224 |      5,307 |
| Plugins\Demigiant\DOTween (Files)                                                                 |          1 |      3,089 |          0 |          1 |      3,090 |
| Plugins\Demigiant\DOTween\Editor                                                                  |          1 |        144 |          0 |          1 |        145 |
| Plugins\Demigiant\DOTween\Modules                                                                 |          8 |      1,295 |        555 |        222 |      2,072 |
| SDF Toolkit                                                                                       |          2 |        424 |        134 |         51 |        609 |
| SDF Toolkit (Files)                                                                               |          1 |        268 |        124 |         25 |        417 |
| SDF Toolkit\Editor                                                                                |          1 |        156 |         10 |         26 |        192 |
| Scripts                                                                                           |         37 |      2,917 |        191 |        669 |      3,777 |
| Scripts (Files)                                                                                   |         17 |      1,465 |        107 |        346 |      1,918 |
| Scripts\.VSCodeCounter                                                                            |          5 |         84 |          0 |         26 |        110 |
| Scripts\.VSCodeCounter\2025-09-26_11-07-53                                                        |          5 |         84 |          0 |         26 |        110 |
| Scripts\Audio                                                                                     |          2 |        109 |          2 |         23 |        134 |
| Scripts\CardData                                                                                  |          1 |         34 |          5 |          8 |         47 |
| Scripts\Map                                                                                       |          4 |        357 |         14 |         67 |        438 |
| Scripts\Room                                                                                      |          6 |        852 |         63 |        195 |      1,110 |
| Scripts\_SciptableObjects                                                                         |          1 |          9 |          0 |          2 |         11 |
| Scripts\_Utility                                                                                  |          1 |          7 |          0 |          2 |          9 |
| Shader                                                                                            |         26 |      1,254 |         57 |        258 |      1,569 |
| ShaderGraph                                                                                       |          1 |         76 |          2 |         17 |         95 |
| Shader\Scripts                                                                                    |         26 |      1,254 |         57 |        258 |      1,569 |
| Shader\Scripts\Color                                                                              |         16 |        812 |         39 |        171 |      1,022 |
| Shader\Scripts\UV                                                                                 |         10 |        442 |         18 |         87 |        547 |
| TextMesh Pro                                                                                      |         18 |      2,493 |         82 |        646 |      3,221 |
| TextMesh Pro\Shaders                                                                              |         17 |      2,338 |         82 |        644 |      3,064 |
| TextMesh Pro\Sprites                                                                              |          1 |        155 |          0 |          2 |        157 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                          | language    | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| d:\Tuanjie Projects\UGJ2025\Assets\ItemInGrid.cs                                                  | C#          |         68 |          2 |         11 |         81 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\DOTween.XML                          | XML         |      3,089 |          0 |          1 |      3,090 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Editor\DOTweenEditor.XML             | XML         |        144 |          0 |          1 |        145 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs        | C#          |         94 |         80 |         25 |        199 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleEPOOutline.cs   | C#          |        109 |         18 |         20 |        147 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics.cs      | C#          |        137 |         60 |         20 |        217 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics2D.cs    | C#          |        125 |         51 |         18 |        194 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleSprite.cs       | C#          |         63 |         17 |         14 |         94 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUI.cs           | C#          |        390 |        203 |         70 |        663 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs | C#          |        254 |         99 |         37 |        390 |
| d:\Tuanjie Projects\UGJ2025\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUtils.cs        | C#          |        123 |         27 |         18 |        168 |
| d:\Tuanjie Projects\UGJ2025\Assets\SDF Toolkit\Editor\SDFTextureGeneratorWindow.cs                | C#          |        156 |         10 |         26 |        192 |
| d:\Tuanjie Projects\UGJ2025\Assets\SDF Toolkit\SDFTextureGenerator.cs                             | C#          |        268 |        124 |         25 |        417 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-09-26_11-07-53\details.md          | Markdown    |         41 |          0 |          6 |         47 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-09-26_11-07-53\diff-details.md     | Markdown    |          9 |          0 |          6 |         15 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-09-26_11-07-53\diff.md             | Markdown    |         12 |          0 |          7 |         19 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-09-26_11-07-53\results.json        | JSON        |          1 |          0 |          0 |          1 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\.VSCodeCounter\2025-09-26_11-07-53\results.md          | Markdown    |         21 |          0 |          7 |         28 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Audio\AudioManager.cs                                  | C#          |        100 |          2 |         20 |        122 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Audio\Sound.cs                                         | C#          |          9 |          0 |          3 |         12 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CameraMove.cs                                          | C#          |         64 |         14 |         12 |         90 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CameraShake.cs                                         | C#          |         39 |          4 |         11 |         54 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\Card.cs                                                | C#          |        222 |         13 |         59 |        294 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CardData\CardData.cs                                   | C#          |         34 |          5 |          8 |         47 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CardForShow.cs                                         | C#          |         47 |          2 |         11 |         60 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CardVisual.cs                                          | C#          |        221 |          3 |         50 |        274 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CollectionManager.cs                                   | C#          |         34 |          2 |          5 |         41 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\CutoffMaskUI.cs                                        | C#          |         17 |          0 |          2 |         19 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\DeckManager.cs                                         | C#          |         65 |         17 |         12 |         94 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\DialogueManager.cs                                     | C#          |        136 |          5 |         30 |        171 |
| d:\Tuanjie Projects\UGJ2025\Assets\Scripts\EndPanel.cs                                            | C#          |         37 |          4 |          8 |         49 |
